State,Density,Land
Alabama,95,50645
Alaska,1,570641
Arizona,60,113594
Arkansas,57,52035
California,251,163696
Colorado,52,103642
Connecticut,741,4842
Delaware,485,1949
Florida,378,53625
Georgia,177,57513
Hawaii,222,6423
Idaho,20,82643
Illinois,231,55519
Indiana,184,35826
Iowa,55,55857
Kansas,36,81759
Kentucky,112,39486
Louisiana,108,43204
Maine,43,30843
Maryland,618,9707
Massachusetts,871,7800
Michigan,175,56539
Minnesota,68,79627
Mississippi,63,46923
Missouri,88,68742
Montana,7,145546
Nebraska,24,76824
Nevada,26,109781
New Hampshire,148,8953
New Jersey,1218,7354
New Mexico,17,121298
New York,420,47126
Virginia,212,39490.09
North Dakota,10,69001
Ohio,284,40861
Oklahoma,57,68595
Oregon,41,95988
Pennsylvania,286,44743
Rhode Island,1021,1034
South Carolina,162,30061
South Dakota,11,75811
Tennessee,160,41235
Texas,105,261232
Utah,36,82170
Vermont,67,9217
North Carolina,206,48617.91
Washington,107,66456
West Virginia,76,24038
Wisconsin,106,54158
Wyoming,6,97093